ID,Tweet,Created_at,Location,Geo_coordinates,Followers_for_the_user,Friends,Sentiment_analysis
1070802697048051712,@Aleanor55 @goosedeals @kaycee5404 @LeRoyInSB @realDonaldTrump @lopezobrador_ Actually Trump is taking himself down… https://t.co/VIw5mP2H5M,2018-12-06 22:10:32,,None,229,251,0.0
1070802697161531392,RT @kfdmnews: President Donald J. Trump and First Lady Melania Trump visit with former President George W. Bush and former First Lady Mrs.…,2018-12-06 22:10:32,"Georgetown, Washington",None,1303,1135,0.125
1070802697262129154,"RT @peterdaou: How many times are women politicians going to be told to go away, to shut up, to quit, to go knit? How many times are people…",2018-12-06 22:10:32,"Ridgefield, CT",None,115,483,0.5
1070802697471909889,"RT @SarahPalinUSA: Laura Bush Grateful to Melania Trump for Personally Reaching Out to Her During Tough Week, Inviting Her Back to WH to Se…",2018-12-06 22:10:32,,None,1122,1309,-0.12962962962962962
1070802697446658048,"RT @kimmurphy: We were approached by the two women through their lawyer. Viki Morales said she knew she risked being fired or deported, but…",2018-12-06 22:10:32,L.A. girl living in Chicago,None,302,133,0.0
1070802697631059968,@DelPercioS trump didn’t go into blind trust because he can’t have others see if his business is run illegally.,2018-12-06 22:10:32,"Silver Lake, Los Angeles",None,37,108,-0.5
1070802697509580802,Trump And The NRA Busted For Illegal Coordination https://t.co/fLTTzOEIMk via @politicususa,2018-12-06 22:10:32,USA,None,67921,4005,-0.5
1070802697819996161,"RT @JohnWDean: Never saw Trump more out of place than standing with his peers. He’s without empathy so did not understand this event, and b…",2018-12-06 22:10:32,,None,1447,2501,0.5
1070802697559961605,I thought she was very restrained in her snub. He better be glad I wasn't the one sitting there.,2018-12-06 22:10:32,Arkansas,None,2641,4836,0.39999999999999997
1070802697773817862,"RT @RAICESTEXAS: Family are still being separated.
Family are still being separated.
Family are still being separated.
Family are still bei…",2018-12-06 22:10:32,"Never Bernie, USA",None,1101,1014,0.0
1070802697761288192,Making President Trump’s Bed: A Housekeeper Without Papers https://t.co/dMsGxKvGPG,2018-12-06 22:10:32,,None,629,455,0.0
1070802698264547329,"RT @JacobAWohl: Amid the arrival of the caravan, The House just passed a government funding bill that includes ZERO funding for a Border Wa…",2018-12-06 22:10:32,everywhere,None,2418,2878,0.0
1070802698373603333,RT @MaddowBlog: Even after we learned that Mike Flynn did 19 different interviews with the Mueller investigation in which he apparently was…,2018-12-06 22:10:32,Washington DC,None,13538,10491,0.025
1070802698918739968,"RT @TeamPelosi: Nancy Pelosi says funding for Trump's 'immoral, ineffective, expensive' border wall is off the table

https://t.co/l7MaB4UX…",2018-12-06 22:10:32,Seattle Area,None,4139,4837,-0.5
1070802698948235264,That’s y he is being considered.   Not for his qualifications but because he defends Donald.   That alone should b… https://t.co/A7Dfurlf6z,2018-12-06 22:10:32,"Maryland, USA",None,152,237,0.0
1070802699116052480,"RT @John_KissMyBot: Hotel California, They’ve Arrived 

More than 7-in-10 California Immigrant Households Are on Welfare

Wake Up America,…",2018-12-06 22:10:32,,None,107,419,0.5
1070802700189736962,"#GiletsJaunes 

Micron, le bouffon! 

@LouisRielFrance @LYDIE_FRANCE @20RueduCirque @notrejeannedarc @ChLECHEVALIER… https://t.co/Niwrk4REIF",2018-12-06 22:10:32,"Rio de Janeiro, Brasil",None,1079,1404,0.0
1070802700760166400,RT @NSFWPerfectBabe: The Only Trump I Wanna Fuck Is @TeannaTrump https://t.co/JRSnFZqtAI,2018-12-06 22:10:33,المملكة العربية السعودية,None,200,643,-0.2
1070802700848128000,"RT @America1stGirl: Trump, Obama, Clinton and Carter to attend George HW Bush state funeral – live updates https://t.co/QozIxy2ZIr https://…",2018-12-06 22:10:33,#Trump2020,None,4119,4832,0.13636363636363635
1070802700911157249,RT @WhiteHouse: President Trump Delivers Remarks at a Hanukkah Reception https://t.co/1RKmIQEY21,2018-12-06 22:10:33,"Kannapolis, North Carolina",None,1672,2510,0.0
1070802700844048384,RT @Franklin_Graham: It's a shame the media &amp; Trump-haters couldn’t even let the funeral of a well-loved president go by w/out trying to fi…,2018-12-06 22:10:33,,None,3065,4571,0.0
1070802701196374023,"RT @JoeyDoyle100: Supreme Court’s double-jeopardy case holds Mueller probe implications; Kavanaugh vote key

https://t.co/D9RWwW2SwW
Wow! C…",2018-12-06 22:10:33,USA,None,178770,183286,0.0625
1070802701397737477,"RT @Jali_Cat: 💖🇺🇸Bush family wants funeral that avoids anti-Trump sentiment🇺🇸💖

We applaud the Bush Family for this. Thank you @JebBush @Ge…",2018-12-06 22:10:33,,None,15962,8267,0.2
1070802701536149505,"RT @HeidiNBC: Trump Housekeeper Without Papers:
“We are tired of the abuse, the insults, the way he talks about us when he knows that we ar…",2018-12-06 22:10:33,"Fredericksburg, VA",None,132,570,-0.4
1070802701397700609,"RT @DerekCressman: So, Trump’s leading candidate to replace Whitaker as Attorney General is an expert in using pardons to thwart special co…",2018-12-06 22:10:33,In The Woods,None,393,393,0.20357142857142857
1070802701812928513,"RT @EdKrassen: To everyone who is angry that Hillary Clinton didn't shake Donald Trump's hand at George H.W. Bush's funeral, but totally fi…",2018-12-06 22:10:33,,None,424,415,-0.25
1070802701922037760,@SurrealChaos @Miss_DeMeanor2 @Magg416 @JimInhofe @SenatorRounds @SenJohnKennedy @SenTedCruz @realDonaldTrump Like… https://t.co/qAMULR4LDF,2018-12-06 22:10:33,"East Dallas, Dallas",None,866,1886,0.0
1070802702001692672,RT @Franklin_Graham: It's a shame the media &amp; Trump-haters couldn’t even let the funeral of a well-loved president go by w/out trying to fi…,2018-12-06 22:10:33,Mud Crick Ok,None,123,269,0.0
1070802702328832001,"RT @MyChickenDinner: If Donald Trump wanted Hillary Clinton locked up, he should have hired her to work on his campaign.",2018-12-06 22:10:33,,None,892,871,0.0
1070802702203015168,RT @BarbaraBoxer: Do you doubt that Trump has reason to favor the Saudis in international affairs?  Would just one example of 500 hotel roo…,2018-12-06 22:10:33,Ulm,None,256,277,0.0
1070802702324637699,RT @ACTBrigitte: Please join me in asking President Trump to grant Asia Bibi asylum into the United States of America. Her life depends on…,2018-12-06 22:10:33,"Texas, USA",None,418,512,0.0
